DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0132321	1	3	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0132321	1	3	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0132321	1	3	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0134821	1	3	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0134821	1	3	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0134821	1	3	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0137321	1	3	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0137321	1	3	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0137321	1	3	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0139821	1	3	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0139821	1	3	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.0139821	1	3	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.0142321	1	4	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.0142321	1	4	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.0142321	1	4	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.0144821	1	4	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.0144821	1	4	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.0144821	1	4	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.0147321	1	4	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.0147321	1	4	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.0147321	1	4	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.0149821	1	4	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.0149821	1	4	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.0149821	1	4	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.0152321	1	5	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.0152321	1	5	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.0152321	1	5	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.0154821	1	5	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.0154821	1	5	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
